,age,workclass,fnlgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,salary
68,29,Self-emp-not-inc,162298,Bachelors,13,Married-civ-spouse,Sales,Husband,White,1,0,0,70,United-States,1
69,23,Private,211678,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,1,0,0,40,United-States,0
70,79,Private,124744,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,1,0,0,20,United-States,0
71,27,Private,213921,HS-grad,9,Never-married,Other-service,Own-child,White,1,0,0,40,Mexico,0
72,40,Private,32214,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,United-States,0
73,67,?,212759,10th,6,Married-civ-spouse,?,Husband,White,1,0,0,2,United-States,0
74,18,Private,309634,11th,7,Never-married,Other-service,Own-child,White,0,0,0,22,United-States,0
75,31,Local-gov,125927,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,1,0,0,40,United-States,0
76,18,Private,446839,HS-grad,9,Never-married,Sales,Not-in-family,White,1,0,0,30,United-States,0
77,52,Private,276515,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,1,0,0,40,Cuba,0
78,46,Private,51618,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,0,0,0,40,United-States,0
79,59,Private,159937,HS-grad,9,Married-civ-spouse,Sales,Husband,White,1,0,0,48,United-States,0
80,44,Private,343591,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,0,14344,0,40,United-States,1
81,53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,0,0,0,35,United-States,0
82,49,Local-gov,268234,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,40,United-States,1
83,33,Private,202051,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,50,United-States,0
84,30,Private,54334,9th,5,Never-married,Sales,Not-in-family,White,1,0,0,40,United-States,0
85,43,Federal-gov,410867,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,0,0,0,50,United-States,1
86,57,Private,249977,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States,0
87,37,Private,286730,Some-college,10,Divorced,Craft-repair,Unmarried,White,0,0,0,40,United-States,0
88,28,Private,212563,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,0,0,0,25,United-States,0
89,34,Local-gov,226296,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,40,United-States,1
90,29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,1,0,0,50,United-States,0
91,48,Self-emp-not-inc,191277,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,1,0,1902,60,United-States,1
92,37,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,1,0,0,48,United-States,1
93,48,Private,171095,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,0,0,0,40,England,0
94,32,Federal-gov,249409,HS-grad,9,Never-married,Other-service,Own-child,Black,1,0,0,40,United-States,0
95,76,Private,124191,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,40,United-States,1
96,44,Private,198282,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,1,15024,0,60,United-States,1
97,47,Self-emp-not-inc,149116,Masters,14,Never-married,Prof-specialty,Not-in-family,White,0,0,0,50,United-States,0
98,20,Private,188300,Some-college,10,Never-married,Tech-support,Own-child,White,0,0,0,40,United-States,0
99,29,Private,103432,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,1,0,0,40,United-States,0
100,32,Self-emp-inc,317660,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,7688,0,40,United-States,1
101,17,?,304873,10th,6,Never-married,?,Own-child,White,0,34095,0,32,United-States,0
102,30,Private,194901,11th,7,Never-married,Handlers-cleaners,Own-child,White,1,0,0,40,United-States,0
103,31,Local-gov,189265,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,0,0,0,40,United-States,0
104,42,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,United-States,0
105,24,Private,432376,Bachelors,13,Never-married,Sales,Other-relative,White,1,0,0,40,United-States,0
106,38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States,1
107,56,Self-emp-not-inc,335605,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,1,0,1887,50,Canada,1
108,28,Private,377869,Some-college,10,Married-civ-spouse,Sales,Wife,White,0,4064,0,25,United-States,0
109,36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,0,0,0,40,United-States,0
110,53,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,50,United-States,0
111,56,Self-emp-inc,303090,Some-college,10,Married-civ-spouse,Sales,Husband,White,1,0,0,50,United-States,0
112,49,Local-gov,197371,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,1,0,0,40,United-States,1
113,55,Private,247552,Some-college,10,Married-civ-spouse,Sales,Husband,White,1,0,0,56,United-States,0
114,22,Private,102632,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,1,0,0,41,United-States,0
115,21,Private,199915,Some-college,10,Never-married,Other-service,Own-child,White,0,0,0,40,United-States,0
116,40,Private,118853,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,60,United-States,0
117,30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,1,0,0,40,Germany,0
118,29,State-gov,267989,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,50,United-States,1
119,19,Private,301606,Some-college,10,Never-married,Other-service,Own-child,Black,1,0,0,35,United-States,0
120,47,Private,287828,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,0,0,0,40,United-States,1
121,20,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,0,0,1719,28,United-States,0
122,31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,40,United-States,1
123,35,?,129305,HS-grad,9,Married-civ-spouse,?,Husband,White,1,0,0,40,United-States,0
124,39,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,1,0,0,40,United-States,0
125,28,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,0,0,0,60,United-States,0
126,24,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,0,0,1762,40,United-States,0
127,38,Self-emp-not-inc,120985,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,4386,0,35,United-States,0
128,37,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,1,0,0,50,United-States,0
129,46,Private,146195,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,0,0,0,36,United-States,0
130,38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,Iran,1
131,43,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,60,United-States,0
132,27,Private,163127,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,0,0,0,35,United-States,0
133,20,Private,34310,Some-college,10,Never-married,Sales,Own-child,White,1,0,0,20,United-States,0
134,49,Private,81973,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,1,0,0,40,United-States,1
135,61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,0
136,27,Private,232782,Some-college,10,Never-married,Sales,Own-child,White,0,0,0,40,United-States,0
137,19,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,1,0,0,30,Mexico,0
138,45,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,0,0,1564,40,United-States,1
139,70,Private,105376,Some-college,10,Never-married,Tech-support,Other-relative,White,1,0,0,40,United-States,0
140,31,Private,185814,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,0,0,0,30,United-States,0
141,22,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,1,0,0,24,United-States,0
142,36,Private,108293,HS-grad,9,Widowed,Other-service,Unmarried,White,0,0,0,24,United-States,0
143,64,Private,181232,11th,7,Married-civ-spouse,Craft-repair,Husband,White,1,0,2179,40,United-States,0
144,43,?,174662,Some-college,10,Divorced,?,Not-in-family,White,0,0,0,40,United-States,0
145,47,Local-gov,186009,Some-college,10,Divorced,Adm-clerical,Unmarried,White,0,0,0,38,Mexico,0
146,34,Private,198183,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,0,0,0,40,United-States,0
147,33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,0,0,0,40,Philippines,0
148,21,Private,296158,HS-grad,9,Never-married,Craft-repair,Own-child,White,1,0,0,35,United-States,0
149,52,?,252903,HS-grad,9,Divorced,?,Not-in-family,White,1,0,0,45,United-States,1
150,48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,46,United-States,0
151,23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,1,0,0,40,United-States,0
152,71,Self-emp-not-inc,494223,Some-college,10,Separated,Sales,Unmarried,Black,1,0,1816,2,United-States,0
153,29,Private,191535,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,1,0,0,60,United-States,0
154,42,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,1,0,0,50,United-States,0
155,68,?,38317,1st-4th,2,Divorced,?,Not-in-family,White,0,0,0,20,United-States,0
156,25,Private,252752,HS-grad,9,Never-married,Other-service,Unmarried,White,0,0,0,40,United-States,0
157,44,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,0,0,0,40,United-States,0
158,28,Private,88419,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,0,0,0,40,England,0
159,45,Self-emp-not-inc,201080,Masters,14,Married-civ-spouse,Sales,Husband,White,1,0,0,40,United-States,1
160,36,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,0,0,0,40,Mexico,0
161,39,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,1,0,0,42,United-States,0
162,46,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,1,0,0,40,United-States,0
163,18,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,1,0,0,16,United-States,0
164,66,Local-gov,54826,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,0,0,0,20,United-States,0
165,27,Private,124953,HS-grad,9,Never-married,Other-service,Not-in-family,White,1,0,1980,40,United-States,0
166,28,State-gov,175325,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,40,United-States,0
167,51,Private,96062,Some-college,10,Married-civ-spouse,Sales,Husband,White,1,0,1977,40,United-States,1
168,27,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,1,0,0,50,United-States,0
169,28,State-gov,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States,1
170,27,Private,253814,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,0,0,0,25,United-States,0
171,21,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,1,0,0,40,United-States,0
172,34,Private,483777,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,1,0,0,40,United-States,0
173,18,Private,183930,HS-grad,9,Never-married,Other-service,Own-child,White,1,0,0,12,United-States,0
174,33,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,65,United-States,0
175,44,Local-gov,181344,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,1,0,0,38,United-States,1
176,43,Private,114580,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,0,0,0,40,United-States,0
177,30,Private,633742,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,1,0,0,45,United-States,0
178,40,Private,286370,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,40,Mexico,1
179,37,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,42,United-States,1
180,34,Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,1,0,0,40,United-States,0
181,41,Self-emp-not-inc,143129,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,0,0,0,40,United-States,0
182,53,?,135105,Bachelors,13,Divorced,?,Not-in-family,White,0,0,0,50,United-States,0
183,31,Private,99928,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,50,United-States,0
184,58,State-gov,109567,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,1,United-States,1
185,38,Private,155222,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,0,0,0,28,United-States,0
186,24,Private,159567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,40,United-States,0
187,41,Local-gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,1,0,0,40,United-States,0
188,47,Private,120939,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,1,0,0,45,United-States,0
189,41,Federal-gov,130760,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,1,0,0,24,United-States,0
190,23,Private,197387,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,1,0,0,40,Mexico,0
191,36,Private,99374,Some-college,10,Divorced,Craft-repair,Not-in-family,White,1,0,0,40,United-States,0
192,40,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Not-in-family,White,0,14084,0,55,United-States,1
193,35,Private,138992,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,1,7298,0,40,United-States,1
194,24,Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales,Not-in-family,White,1,0,0,40,United-States,0
195,26,Private,397317,Masters,14,Never-married,Prof-specialty,Not-in-family,White,0,0,1876,40,United-States,0
196,19,?,170653,HS-grad,9,Never-married,?,Own-child,White,1,0,0,40,Italy,0
197,51,Private,259323,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,United-States,1
198,42,Local-gov,254817,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,0,0,1340,40,United-States,0
199,37,State-gov,48211,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,0,0,0,35,United-States,0
200,18,Private,140164,11th,7,Never-married,Sales,Own-child,White,0,0,0,40,United-States,0
201,36,Private,128757,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,1,7298,0,36,United-States,1
202,35,Private,36270,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,1,0,0,60,United-States,0
203,58,Self-emp-inc,210563,HS-grad,9,Married-civ-spouse,Sales,Wife,White,0,15024,0,35,United-States,1
204,17,Private,65368,11th,7,Never-married,Sales,Own-child,White,0,0,0,12,United-States,0
205,44,Local-gov,160943,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,1,0,0,40,United-States,0
206,37,Private,208358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,1,0,0,40,United-States,1
207,35,Private,153790,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,0,0,0,40,United-States,0
208,60,Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,1,0,0,40,United-States,0
209,54,Self-emp-inc,125417,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,1,0,0,40,United-States,1
210,37,Private,635913,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,1,0,0,60,United-States,1
211,50,Private,313321,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,0,0,0,40,United-States,0
212,38,Private,182609,Bachelors,13,Married-civ-spouse,Sales,Husband,White,1,0,0,50,Poland,0
213,45,Private,109434,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,55,United-States,0
214,25,Private,255004,10th,6,Never-married,Craft-repair,Not-in-family,White,1,0,0,40,United-States,0
215,31,Private,197860,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,1,0,0,40,United-States,0
216,64,?,187656,1st-4th,2,Divorced,?,Not-in-family,White,1,0,0,40,United-States,0
217,90,Private,51744,HS-grad,9,Never-married,Other-service,Not-in-family,Black,1,0,2206,40,United-States,0
218,54,Private,176681,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,1,0,0,20,United-States,0
219,53,Local-gov,140359,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,0,0,0,35,United-States,0
220,18,Private,243313,HS-grad,9,Never-married,Sales,Own-child,White,0,0,0,40,United-States,0
221,60,?,24215,10th,6,Divorced,?,Not-in-family,Amer-Indian-Eskimo,0,0,0,10,United-States,0
222,66,Self-emp-not-inc,167687,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,1,1409,0,50,United-States,0
223,75,Private,314209,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,0,0,0,20,Columbia,0
224,65,Private,176796,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,0,0,0,40,United-States,0
225,35,Private,538583,11th,7,Separated,Transport-moving,Not-in-family,Black,1,3674,0,40,United-States,0
226,41,Private,130408,HS-grad,9,Divorced,Sales,Unmarried,Black,0,0,0,38,United-States,0
227,25,Private,159732,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,1,0,0,42,United-States,0
228,33,Private,110978,Some-college,10,Divorced,Craft-repair,Other-relative,Other,0,0,0,40,United-States,0
229,28,Private,76714,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,1,0,0,55,United-States,1
230,59,State-gov,268700,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,1,0,0,40,United-States,0
231,40,State-gov,170525,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,0,0,0,38,United-States,0
232,41,Private,180138,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,50,Iran,1
233,38,Local-gov,115076,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,1,0,0,70,United-States,1
234,23,Private,115458,HS-grad,9,Never-married,Transport-moving,Own-child,White,1,0,0,40,United-States,0
235,40,Private,347890,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,1,0,0,40,United-States,1
236,41,Self-emp-not-inc,196001,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,0,0,0,20,United-States,0
237,24,State-gov,273905,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,1,0,0,50,United-States,0
238,20,?,119156,Some-college,10,Never-married,?,Own-child,White,1,0,0,20,United-States,0
239,38,Private,179488,Some-college,10,Divorced,Craft-repair,Not-in-family,White,1,0,1741,40,United-States,0
240,58,Private,236596,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,1,0,0,45,United-States,1
241,32,Private,183916,HS-grad,9,Never-married,Other-service,Not-in-family,White,0,0,0,34,United-States,0
242,40,Private,207578,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,1,0,1977,60,United-States,1
243,41,Private,112763,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,0,0,0,40,United-States,1
244,42,Private,390781,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Black,0,0,0,40,United-States,0
245,59,Local-gov,171328,10th,6,Widowed,Other-service,Unmarried,Black,0,0,0,30,United-States,0
246,19,Local-gov,27382,Some-college,10,Never-married,Adm-clerical,Own-child,White,1,0,0,40,United-States,0
247,58,Private,259014,Some-college,10,Never-married,Transport-moving,Not-in-family,White,1,0,0,20,United-States,0
248,42,Self-emp-not-inc,303044,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,1,0,0,40,Cambodia,1
249,20,Private,117789,HS-grad,9,Never-married,Other-service,Own-child,White,0,0,0,40,United-States,0
250,32,Private,172579,HS-grad,9,Separated,Other-service,Not-in-family,White,0,0,0,30,United-States,0
251,45,Private,187666,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,0,0,0,45,United-States,0
